Values	total	status	pValue
Min.	0	AfrAmr	0.0048701573189387426
1st Qu.	1	AfrAmr	0.0048701573189387426
Median	2	AfrAmr	0.0048701573189387426
Mean	1.97872340425532	AfrAmr	0.0048701573189387426
3rd Qu.	2.5	AfrAmr	0.0048701573189387426
Max.	7	AfrAmr	0.0048701573189387426
Min.	0	EurAmr	0.0048701573189387426
1st Qu.	0	EurAmr	0.0048701573189387426
Median	1	EurAmr	0.0048701573189387426
Mean	1.5635103926097	EurAmr	0.0048701573189387426
3rd Qu.	2	EurAmr	0.0048701573189387426
Max.	29	EurAmr	0.0048701573189387426
