Values	total	status	pValue
Min.	1	AfrAmr	0.035645625099523764
1st Qu.	3.5	AfrAmr	0.035645625099523764
Median	7	AfrAmr	0.035645625099523764
Mean	10.2631578947368	AfrAmr	0.035645625099523764
3rd Qu.	15	AfrAmr	0.035645625099523764
Max.	43	AfrAmr	0.035645625099523764
Min.	1	EurAmr	0.035645625099523764
1st Qu.	7	EurAmr	0.035645625099523764
Median	12	EurAmr	0.035645625099523764
Mean	16.6235294117647	EurAmr	0.035645625099523764
3rd Qu.	23	EurAmr	0.035645625099523764
Max.	122	EurAmr	0.035645625099523764
