Values	total	status	pValue
Min.	4	AfrAmr	0.012583777049460605
1st Qu.	14	AfrAmr	0.012583777049460605
Median	20	AfrAmr	0.012583777049460605
Mean	20.1578947368421	AfrAmr	0.012583777049460605
3rd Qu.	26.5	AfrAmr	0.012583777049460605
Max.	35	AfrAmr	0.012583777049460605
Min.	0	EurAmr	0.012583777049460605
1st Qu.	17	EurAmr	0.012583777049460605
Median	28	EurAmr	0.012583777049460605
Mean	34.9529411764706	EurAmr	0.012583777049460605
3rd Qu.	49	EurAmr	0.012583777049460605
Max.	173	EurAmr	0.012583777049460605
