Values	total	status	pValue
Min.	0	AfrAmr	0.025836779520445344
1st Qu.	5.5	AfrAmr	0.025836779520445344
Median	12	AfrAmr	0.025836779520445344
Mean	15.5490196078431	AfrAmr	0.025836779520445344
3rd Qu.	22.5	AfrAmr	0.025836779520445344
Max.	58	AfrAmr	0.025836779520445344
Min.	0	EurAmr	0.025836779520445344
1st Qu.	4	EurAmr	0.025836779520445344
Median	8	EurAmr	0.025836779520445344
Mean	12.4753246753247	EurAmr	0.025836779520445344
3rd Qu.	17	EurAmr	0.025836779520445344
Max.	128	EurAmr	0.025836779520445344
