Values	total	status	pValue
Min.	0	AfrAmr	0.002662208398882765
1st Qu.	15	AfrAmr	0.002662208398882765
Median	52	AfrAmr	0.002662208398882765
Mean	58.8823529411765	AfrAmr	0.002662208398882765
3rd Qu.	87	AfrAmr	0.002662208398882765
Max.	339	AfrAmr	0.002662208398882765
Min.	0	EurAmr	0.002662208398882765
1st Qu.	5	EurAmr	0.002662208398882765
Median	20	EurAmr	0.002662208398882765
Mean	38.9324675324675	EurAmr	0.002662208398882765
3rd Qu.	53	EurAmr	0.002662208398882765
Max.	278	EurAmr	0.002662208398882765
