Values	total	status	pValue
Min.	1	AfrAmr	6.810874963587798e-4
1st Qu.	23	AfrAmr	6.810874963587798e-4
Median	82	AfrAmr	6.810874963587798e-4
Mean	96.7254901960784	AfrAmr	6.810874963587798e-4
3rd Qu.	135	AfrAmr	6.810874963587798e-4
Max.	569	AfrAmr	6.810874963587798e-4
Min.	0	EurAmr	6.810874963587798e-4
1st Qu.	7	EurAmr	6.810874963587798e-4
Median	32	EurAmr	6.810874963587798e-4
Mean	60.6987012987013	EurAmr	6.810874963587798e-4
3rd Qu.	77	EurAmr	6.810874963587798e-4
Max.	476	EurAmr	6.810874963587798e-4
