Values	total	status	pValue
Min.	0	AfrAmr	0.004299354757273124
1st Qu.	3.5	AfrAmr	0.004299354757273124
Median	9	AfrAmr	0.004299354757273124
Mean	11.6274509803922	AfrAmr	0.004299354757273124
3rd Qu.	15.5	AfrAmr	0.004299354757273124
Max.	58	AfrAmr	0.004299354757273124
Min.	0	EurAmr	0.004299354757273124
1st Qu.	1	EurAmr	0.004299354757273124
Median	5	EurAmr	0.004299354757273124
Mean	8.02597402597403	EurAmr	0.004299354757273124
3rd Qu.	11	EurAmr	0.004299354757273124
Max.	59	EurAmr	0.004299354757273124
