Values	total	status	pValue
Min.	6	AfrAmr	0.025709153338620103
1st Qu.	12.75	AfrAmr	0.025709153338620103
Median	16	AfrAmr	0.025709153338620103
Mean	16.5	AfrAmr	0.025709153338620103
3rd Qu.	19.75	AfrAmr	0.025709153338620103
Max.	28	AfrAmr	0.025709153338620103
Min.	0	EurAmr	0.025709153338620103
1st Qu.	4.75	EurAmr	0.025709153338620103
Median	6.5	EurAmr	0.025709153338620103
Mean	7.36666666666667	EurAmr	0.025709153338620103
3rd Qu.	9.25	EurAmr	0.025709153338620103
Max.	41	EurAmr	0.025709153338620103
