Values	total	status	pValue
Min.	1	AfrAmr	0.017608556008677227
1st Qu.	2.25	AfrAmr	0.017608556008677227
Median	3	AfrAmr	0.017608556008677227
Mean	3.33333333333333	AfrAmr	0.017608556008677227
3rd Qu.	4.5	AfrAmr	0.017608556008677227
Max.	6	AfrAmr	0.017608556008677227
Min.	0	EurAmr	0.017608556008677227
1st Qu.	0	EurAmr	0.017608556008677227
Median	1	EurAmr	0.017608556008677227
Mean	1.58771929824561	EurAmr	0.017608556008677227
3rd Qu.	2.75	EurAmr	0.017608556008677227
Max.	9	EurAmr	0.017608556008677227
