Values	total	status	pValue
Min.	3	AfrAmr	0.059757459748603386
1st Qu.	9.25	AfrAmr	0.059757459748603386
Median	39	AfrAmr	0.059757459748603386
Mean	59.6428571428571	AfrAmr	0.059757459748603386
3rd Qu.	67	AfrAmr	0.059757459748603386
Max.	344	AfrAmr	0.059757459748603386
Min.	0	EurAmr	0.059757459748603386
1st Qu.	3	EurAmr	0.059757459748603386
Median	14	EurAmr	0.059757459748603386
Mean	27.9083969465649	EurAmr	0.059757459748603386
3rd Qu.	42	EurAmr	0.059757459748603386
Max.	189	EurAmr	0.059757459748603386
