Values	total	status	pValue
Min.	0	AfrAmr	0.043212287439923024
1st Qu.	8	AfrAmr	0.043212287439923024
Median	25	AfrAmr	0.043212287439923024
Mean	24.4571428571429	AfrAmr	0.043212287439923024
3rd Qu.	34.5	AfrAmr	0.043212287439923024
Max.	70	AfrAmr	0.043212287439923024
Min.	0	EurAmr	0.043212287439923024
1st Qu.	4	EurAmr	0.043212287439923024
Median	11	EurAmr	0.043212287439923024
Mean	19.4217391304348	EurAmr	0.043212287439923024
3rd Qu.	27.75	EurAmr	0.043212287439923024
Max.	119	EurAmr	0.043212287439923024
