Values	total	status	pValue
Min.	1	AfrAmr	5.035461461162777e-4
1st Qu.	7.5	AfrAmr	5.035461461162777e-4
Median	10	AfrAmr	5.035461461162777e-4
Mean	10.9574468085106	AfrAmr	5.035461461162777e-4
3rd Qu.	14.5	AfrAmr	5.035461461162777e-4
Max.	31	AfrAmr	5.035461461162777e-4
Min.	0	EurAmr	5.035461461162777e-4
1st Qu.	3	EurAmr	5.035461461162777e-4
Median	6	EurAmr	5.035461461162777e-4
Mean	10.4516129032258	EurAmr	5.035461461162777e-4
3rd Qu.	11.75	EurAmr	5.035461461162777e-4
Max.	759	EurAmr	5.035461461162777e-4
