Values	total	status	pValue
Min.	0	AfrAmr	0.024981806427869655
1st Qu.	1.75	AfrAmr	0.024981806427869655
Median	4	AfrAmr	0.024981806427869655
Mean	6.94230769230769	AfrAmr	0.024981806427869655
3rd Qu.	8.25	AfrAmr	0.024981806427869655
Max.	91	AfrAmr	0.024981806427869655
Min.	0	EurAmr	0.024981806427869655
1st Qu.	1	EurAmr	0.024981806427869655
Median	3	EurAmr	0.024981806427869655
Mean	4.0180412371134	EurAmr	0.024981806427869655
3rd Qu.	6	EurAmr	0.024981806427869655
Max.	26	EurAmr	0.024981806427869655
