Values	total	status	pValue
Min.	0	AfrAmr	0.036416012439105555
1st Qu.	6	AfrAmr	0.036416012439105555
Median	13.5	AfrAmr	0.036416012439105555
Mean	17.7115384615385	AfrAmr	0.036416012439105555
3rd Qu.	24	AfrAmr	0.036416012439105555
Max.	65	AfrAmr	0.036416012439105555
Min.	0	EurAmr	0.036416012439105555
1st Qu.	4	EurAmr	0.036416012439105555
Median	9	EurAmr	0.036416012439105555
Mean	14.1288659793814	EurAmr	0.036416012439105555
3rd Qu.	18	EurAmr	0.036416012439105555
Max.	157	EurAmr	0.036416012439105555
