Values	total	status	pValue
Min.	0	AfrAmr	0.16231743454425016
1st Qu.	16.5	AfrAmr	0.16231743454425016
Median	35.5	AfrAmr	0.16231743454425016
Mean	40.4038461538462	AfrAmr	0.16231743454425016
3rd Qu.	56.75	AfrAmr	0.16231743454425016
Max.	160	AfrAmr	0.16231743454425016
Min.	0	EurAmr	0.16231743454425016
1st Qu.	14	EurAmr	0.16231743454425016
Median	26	EurAmr	0.16231743454425016
Mean	35.7396907216495	EurAmr	0.16231743454425016
3rd Qu.	45.25	EurAmr	0.16231743454425016
Max.	319	EurAmr	0.16231743454425016
