Values	total	status	pValue
Min.	1	AfrAmr	8.849090231585971e-4
1st Qu.	27	AfrAmr	8.849090231585971e-4
Median	89.5	AfrAmr	8.849090231585971e-4
Mean	107.576923076923	AfrAmr	8.849090231585971e-4
3rd Qu.	148.25	AfrAmr	8.849090231585971e-4
Max.	587	AfrAmr	8.849090231585971e-4
Min.	0	EurAmr	8.849090231585971e-4
1st Qu.	8.75	EurAmr	8.849090231585971e-4
Median	38.5	EurAmr	8.849090231585971e-4
Mean	67.3969072164948	EurAmr	8.849090231585971e-4
3rd Qu.	90.25	EurAmr	8.849090231585971e-4
Max.	509	EurAmr	8.849090231585971e-4
