Values	total	status	pValue
Min.	0	AfrAmr	0.0035215140669959595
1st Qu.	4.75	AfrAmr	0.0035215140669959595
Median	10	AfrAmr	0.0035215140669959595
Mean	12.6923076923077	AfrAmr	0.0035215140669959595
3rd Qu.	17.5	AfrAmr	0.0035215140669959595
Max.	60	AfrAmr	0.0035215140669959595
Min.	0	EurAmr	0.0035215140669959595
1st Qu.	2	EurAmr	0.0035215140669959595
Median	6	EurAmr	0.0035215140669959595
Mean	8.87628865979381	EurAmr	0.0035215140669959595
3rd Qu.	12	EurAmr	0.0035215140669959595
Max.	61	EurAmr	0.0035215140669959595
