Values	total	status	pValue
Min.	0	AfrAmr	0.030086089858183132
1st Qu.	4	AfrAmr	0.030086089858183132
Median	6	AfrAmr	0.030086089858183132
Mean	9.42105263157895	AfrAmr	0.030086089858183132
3rd Qu.	11.5	AfrAmr	0.030086089858183132
Max.	56	AfrAmr	0.030086089858183132
Min.	0	EurAmr	0.030086089858183132
1st Qu.	5	EurAmr	0.030086089858183132
Median	12	EurAmr	0.030086089858183132
Mean	22.9397590361446	EurAmr	0.030086089858183132
3rd Qu.	37.5	EurAmr	0.030086089858183132
Max.	144	EurAmr	0.030086089858183132
