Values	total	status	pValue
Min.	1	AfrAmr	0.004423383242946015
1st Qu.	8.5	AfrAmr	0.004423383242946015
Median	14	AfrAmr	0.004423383242946015
Mean	14.8947368421053	AfrAmr	0.004423383242946015
3rd Qu.	20.5	AfrAmr	0.004423383242946015
Max.	32	AfrAmr	0.004423383242946015
Min.	1	EurAmr	0.004423383242946015
1st Qu.	12.5	EurAmr	0.004423383242946015
Median	25	EurAmr	0.004423383242946015
Mean	28.855421686747	EurAmr	0.004423383242946015
3rd Qu.	36	EurAmr	0.004423383242946015
Max.	144	EurAmr	0.004423383242946015
