Values	total	status	pValue
Min.	0	AfrAmr	0.021782071628780698
1st Qu.	1	AfrAmr	0.021782071628780698
Median	3	AfrAmr	0.021782071628780698
Mean	3.57894736842105	AfrAmr	0.021782071628780698
3rd Qu.	4.5	AfrAmr	0.021782071628780698
Max.	17	AfrAmr	0.021782071628780698
Min.	0	EurAmr	0.021782071628780698
1st Qu.	2	EurAmr	0.021782071628780698
Median	5	EurAmr	0.021782071628780698
Mean	7.18072289156626	EurAmr	0.021782071628780698
3rd Qu.	10.5	EurAmr	0.021782071628780698
Max.	41	EurAmr	0.021782071628780698
