Values	total	status	pValue
Min.	1	AfrAmr	0.057261937926180013
1st Qu.	16	AfrAmr	0.057261937926180013
Median	66.5	AfrAmr	0.057261937926180013
Mean	78.9117647058823	AfrAmr	0.057261937926180013
3rd Qu.	120.25	AfrAmr	0.057261937926180013
Max.	348	AfrAmr	0.057261937926180013
Min.	0	EurAmr	0.057261937926180013
1st Qu.	5	EurAmr	0.057261937926180013
Median	31.5	EurAmr	0.057261937926180013
Mean	58.9601769911504	EurAmr	0.057261937926180013
3rd Qu.	83	EurAmr	0.057261937926180013
Max.	413	EurAmr	0.057261937926180013
