Values	total	status	pValue
Min.	0	AfrAmr	0.0010202428109315665
1st Qu.	1.5	AfrAmr	0.0010202428109315665
Median	4	AfrAmr	0.0010202428109315665
Mean	4.48936170212766	AfrAmr	0.0010202428109315665
3rd Qu.	6	AfrAmr	0.0010202428109315665
Max.	22	AfrAmr	0.0010202428109315665
Min.	0	EurAmr	0.0010202428109315665
1st Qu.	0.25	EurAmr	0.0010202428109315665
Median	2	EurAmr	0.0010202428109315665
Mean	3.8906976744186	EurAmr	0.0010202428109315665
3rd Qu.	4	EurAmr	0.0010202428109315665
Max.	61	EurAmr	0.0010202428109315665
