Values	total	status	pValue
Min.	0	AfrAmr	0.022198189424216565
1st Qu.	3.5	AfrAmr	0.022198189424216565
Median	10	AfrAmr	0.022198189424216565
Mean	12.2156862745098	AfrAmr	0.022198189424216565
3rd Qu.	17	AfrAmr	0.022198189424216565
Max.	48	AfrAmr	0.022198189424216565
Min.	0	EurAmr	0.022198189424216565
1st Qu.	2	EurAmr	0.022198189424216565
Median	6	EurAmr	0.022198189424216565
Mean	9.16052631578947	EurAmr	0.022198189424216565
3rd Qu.	11.25	EurAmr	0.022198189424216565
Max.	68	EurAmr	0.022198189424216565
