Values	total	status	pValue
Min.	0	AfrAmr	8.384951922712916e-4
1st Qu.	4	AfrAmr	8.384951922712916e-4
Median	14	AfrAmr	8.384951922712916e-4
Mean	17.5490196078431	AfrAmr	8.384951922712916e-4
3rd Qu.	23.5	AfrAmr	8.384951922712916e-4
Max.	89	AfrAmr	8.384951922712916e-4
Min.	0	EurAmr	8.384951922712916e-4
1st Qu.	1	EurAmr	8.384951922712916e-4
Median	6	EurAmr	8.384951922712916e-4
Mean	10.7289473684211	EurAmr	8.384951922712916e-4
3rd Qu.	14	EurAmr	8.384951922712916e-4
Max.	121	EurAmr	8.384951922712916e-4
