Values	total	status	pValue
Min.	0	AfrAmr	0.0019555498642304025
1st Qu.	9.5	AfrAmr	0.0019555498642304025
Median	35	AfrAmr	0.0019555498642304025
Mean	48.3725490196078	AfrAmr	0.0019555498642304025
3rd Qu.	70.5	AfrAmr	0.0019555498642304025
Max.	307	AfrAmr	0.0019555498642304025
Min.	0	EurAmr	0.0019555498642304025
1st Qu.	3	EurAmr	0.0019555498642304025
Median	13.5	EurAmr	0.0019555498642304025
Mean	29.6105263157895	EurAmr	0.0019555498642304025
3rd Qu.	41	EurAmr	0.0019555498642304025
Max.	238	EurAmr	0.0019555498642304025
