Values	total	status	pValue
Min.	0	AfrAmr	0.0015455423739727428
1st Qu.	16	AfrAmr	0.0015455423739727428
Median	59	AfrAmr	0.0015455423739727428
Mean	79.1176470588235	AfrAmr	0.0015455423739727428
3rd Qu.	116	AfrAmr	0.0015455423739727428
Max.	487	AfrAmr	0.0015455423739727428
Min.	0	EurAmr	0.0015455423739727428
1st Qu.	4	EurAmr	0.0015455423739727428
Median	24	EurAmr	0.0015455423739727428
Mean	46.9763157894737	EurAmr	0.0015455423739727428
3rd Qu.	61.25	EurAmr	0.0015455423739727428
Max.	413	EurAmr	0.0015455423739727428
