Values	total	status	pValue
Min.	2	AfrAmr	0.04636038744293642
1st Qu.	26.75	AfrAmr	0.04636038744293642
Median	80.5	AfrAmr	0.04636038744293642
Mean	99.8235294117647	AfrAmr	0.04636038744293642
3rd Qu.	160.75	AfrAmr	0.04636038744293642
Max.	415	AfrAmr	0.04636038744293642
Min.	0	EurAmr	0.04636038744293642
1st Qu.	12	EurAmr	0.04636038744293642
Median	45.5	EurAmr	0.04636038744293642
Mean	76.6798245614035	EurAmr	0.04636038744293642
3rd Qu.	107	EurAmr	0.04636038744293642
Max.	470	EurAmr	0.04636038744293642
