Values	total	status	pValue
Min.	0	AfrAmr	0.0010143017130224527
1st Qu.	7	AfrAmr	0.0010143017130224527
Median	17	AfrAmr	0.0010143017130224527
Mean	21.3725490196078	AfrAmr	0.0010143017130224527
3rd Qu.	30.5	AfrAmr	0.0010143017130224527
Max.	96	AfrAmr	0.0010143017130224527
Min.	0	EurAmr	0.0010143017130224527
1st Qu.	2	EurAmr	0.0010143017130224527
Median	8	EurAmr	0.0010143017130224527
Mean	14.0104166666667	EurAmr	0.0010143017130224527
3rd Qu.	19	EurAmr	0.0010143017130224527
Max.	123	EurAmr	0.0010143017130224527
