Values	total	status	pValue
Min.	0	AfrAmr	0.0038591032466633955
1st Qu.	15	AfrAmr	0.0038591032466633955
Median	51	AfrAmr	0.0038591032466633955
Mean	59.921568627451	AfrAmr	0.0038591032466633955
3rd Qu.	85	AfrAmr	0.0038591032466633955
Max.	330	AfrAmr	0.0038591032466633955
Min.	0	EurAmr	0.0038591032466633955
1st Qu.	5	EurAmr	0.0038591032466633955
Median	21	EurAmr	0.0038591032466633955
Mean	39.390625	EurAmr	0.0038591032466633955
3rd Qu.	54.25	EurAmr	0.0038591032466633955
Max.	271	EurAmr	0.0038591032466633955
