Values	total	status	pValue
Min.	2	white	0.07748255802602151
1st Qu.	70	white	0.07748255802602151
Median	181	white	0.07748255802602151
Mean	220.890909090909	white	0.07748255802602151
3rd Qu.	303.5	white	0.07748255802602151
Max.	812	white	0.07748255802602151
Min.	43	black or african american	0.07748255802602151
1st Qu.	57	black or african american	0.07748255802602151
Median	70	black or african american	0.07748255802602151
Mean	88.6	black or african american	0.07748255802602151
3rd Qu.	86	black or african american	0.07748255802602151
Max.	187	black or african american	0.07748255802602151
