Values	total	status	pValue
Min.	1	white	0.3517626038983405
1st Qu.	95	white	0.3517626038983405
Median	168	white	0.3517626038983405
Mean	244.4	white	0.3517626038983405
3rd Qu.	321	white	0.3517626038983405
Max.	1207	white	0.3517626038983405
Min.	63	black or african american	0.3517626038983405
1st Qu.	82.5	black or african american	0.3517626038983405
Median	109.5	black or african american	0.3517626038983405
Mean	150.5	black or african american	0.3517626038983405
3rd Qu.	177.5	black or african american	0.3517626038983405
Max.	320	black or african american	0.3517626038983405
