Values	total	status	pValue
Min.	18	white	0.4893397504432755
1st Qu.	83.75	white	0.4893397504432755
Median	114	white	0.4893397504432755
Mean	121.875	white	0.4893397504432755
3rd Qu.	157.25	white	0.4893397504432755
Max.	360	white	0.4893397504432755
Min.	37	black or african american	0.4893397504432755
1st Qu.	91	black or african american	0.4893397504432755
Median	100.5	black or african american	0.4893397504432755
Mean	105.7	black or african american	0.4893397504432755
3rd Qu.	117.5	black or african american	0.4893397504432755
Max.	193	black or african american	0.4893397504432755
