Values	total	status	pValue
Min.	11	white	0.09063669469214666
1st Qu.	72.75	white	0.09063669469214666
Median	92	white	0.09063669469214666
Mean	152.333333333333	white	0.09063669469214666
3rd Qu.	129.75	white	0.09063669469214666
Max.	2630	white	0.09063669469214666
Min.	92	black or african american	0.09063669469214666
1st Qu.	133.25	black or african american	0.09063669469214666
Median	155.5	black or african american	0.09063669469214666
Mean	151	black or african american	0.09063669469214666
3rd Qu.	173.25	black or african american	0.09063669469214666
Max.	201	black or african american	0.09063669469214666
