Values	total	status	pValue
Min.	12	white	0.8888691306403067
1st Qu.	41	white	0.8888691306403067
Median	58	white	0.8888691306403067
Mean	83	white	0.8888691306403067
3rd Qu.	101	white	0.8888691306403067
Max.	402	white	0.8888691306403067
Min.	38	black or african american	0.8888691306403067
1st Qu.	51	black or african american	0.8888691306403067
Median	64	black or african american	0.8888691306403067
Mean	71	black or african american	0.8888691306403067
3rd Qu.	87.5	black or african american	0.8888691306403067
Max.	111	black or african american	0.8888691306403067
