Values	total	status	pValue
Min.	1	white	0.15156427707642692
1st Qu.	79	white	0.15156427707642692
Median	190	white	0.15156427707642692
Mean	289.934497816594	white	0.15156427707642692
3rd Qu.	408	white	0.15156427707642692
Max.	1483	white	0.15156427707642692
Min.	22	black or african american	0.15156427707642692
1st Qu.	94.25	black or african american	0.15156427707642692
Median	299	black or african american	0.15156427707642692
Mean	341.029411764706	black or african american	0.15156427707642692
3rd Qu.	470	black or african american	0.15156427707642692
Max.	1038	black or african american	0.15156427707642692
