Values	total	status	pValue
Min.	22	white	0.9873564231509707
1st Qu.	151.5	white	0.9873564231509707
Median	205	white	0.9873564231509707
Mean	247.908333333333	white	0.9873564231509707
3rd Qu.	325.5	white	0.9873564231509707
Max.	889	white	0.9873564231509707
Min.	89	black or african american	0.9873564231509707
1st Qu.	120	black or african american	0.9873564231509707
Median	193	black or african american	0.9873564231509707
Mean	232	black or african american	0.9873564231509707
3rd Qu.	363.5	black or african american	0.9873564231509707
Max.	375	black or african american	0.9873564231509707
