Values	total	status	pValue
Min.	1	white	0.5873773338020518
1st Qu.	156	white	0.5873773338020518
Median	214	white	0.5873773338020518
Mean	315.124293785311	white	0.5873773338020518
3rd Qu.	355	white	0.5873773338020518
Max.	3258	white	0.5873773338020518
Min.	77	black or african american	0.5873773338020518
1st Qu.	131	black or african american	0.5873773338020518
Median	225	black or african american	0.5873773338020518
Mean	238.263157894737	black or african american	0.5873773338020518
3rd Qu.	327.5	black or african american	0.5873773338020518
Max.	492	black or african american	0.5873773338020518
