Values	total	status	pValue
Min.	1	white	0.28933600992949127
1st Qu.	90.5	white	0.28933600992949127
Median	168.5	white	0.28933600992949127
Mean	250.920245398773	white	0.28933600992949127
3rd Qu.	296.75	white	0.28933600992949127
Max.	3854	white	0.28933600992949127
Min.	43	black or african american	0.28933600992949127
1st Qu.	81.5	black or african american	0.28933600992949127
Median	154	black or african american	0.28933600992949127
Mean	172.086956521739	black or african american	0.28933600992949127
3rd Qu.	230	black or african american	0.28933600992949127
Max.	387	black or african american	0.28933600992949127
