Values	total	status	pValue
Min.	2	white	0.1868544761928091
1st Qu.	56	white	0.1868544761928091
Median	90	white	0.1868544761928091
Mean	142.363425925926	white	0.1868544761928091
3rd Qu.	141.5	white	0.1868544761928091
Max.	2878	white	0.1868544761928091
Min.	16	black or african american	0.1868544761928091
1st Qu.	78.5	black or african american	0.1868544761928091
Median	102	black or african american	0.1868544761928091
Mean	116.106382978723	black or african american	0.1868544761928091
3rd Qu.	143.5	black or african american	0.1868544761928091
Max.	368	black or african american	0.1868544761928091
