Values	total	status	pValue
Min.	9	white	0.10671539002847791
1st Qu.	49.25	white	0.10671539002847791
Median	74	white	0.10671539002847791
Mean	94.6516853932584	white	0.10671539002847791
3rd Qu.	102	white	0.10671539002847791
Max.	1499	white	0.10671539002847791
Min.	42	black or african american	0.10671539002847791
1st Qu.	71.25	black or african american	0.10671539002847791
Median	92	black or african american	0.10671539002847791
Mean	91.4375	black or african american	0.10671539002847791
3rd Qu.	105.5	black or african american	0.10671539002847791
Max.	162	black or african american	0.10671539002847791
