Values	total	status	pValue
Min.	1	white	0.012232964563517336
1st Qu.	58	white	0.012232964563517336
Median	148	white	0.012232964563517336
Mean	239.537662337662	white	0.012232964563517336
3rd Qu.	317	white	0.012232964563517336
Max.	1483	white	0.012232964563517336
Min.	6	black or african american	0.012232964563517336
1st Qu.	96.5	black or african american	0.012232964563517336
Median	275	black or african american	0.012232964563517336
Mean	328.509803921569	black or african american	0.012232964563517336
3rd Qu.	437	black or african american	0.012232964563517336
Max.	1539	black or african american	0.012232964563517336
