Values	total	status	pValue
Min.	4	white	0.38552534149074047
1st Qu.	53.5	white	0.38552534149074047
Median	100	white	0.38552534149074047
Mean	281.236162361624	white	0.38552534149074047
3rd Qu.	206	white	0.38552534149074047
Max.	6652	white	0.38552534149074047
Min.	36	black or african american	0.38552534149074047
1st Qu.	46	black or african american	0.38552534149074047
Median	63	black or african american	0.38552534149074047
Mean	251.615384615385	black or african american	0.38552534149074047
3rd Qu.	99	black or african american	0.38552534149074047
Max.	1307	black or african american	0.38552534149074047
