Values	total	status	pValue
Min.	9	white	0.5206288492170957
1st Qu.	48	white	0.5206288492170957
Median	115	white	0.5206288492170957
Mean	395.811594202899	white	0.5206288492170957
3rd Qu.	280	white	0.5206288492170957
Max.	6652	white	0.5206288492170957
Min.	41	black or african american	0.5206288492170957
1st Qu.	57.5	black or african american	0.5206288492170957
Median	76	black or african american	0.5206288492170957
Mean	104	black or african american	0.5206288492170957
3rd Qu.	122.5	black or african american	0.5206288492170957
Max.	223	black or african american	0.5206288492170957
