Values	total	status	pValue
Min.	7	white	0.40096060880463935
1st Qu.	58	white	0.40096060880463935
Median	124	white	0.40096060880463935
Mean	358.391304347826	white	0.40096060880463935
3rd Qu.	528	white	0.40096060880463935
Max.	2558	white	0.40096060880463935
Min.	36	black or african american	0.40096060880463935
1st Qu.	52	black or african american	0.40096060880463935
Median	63	black or african american	0.40096060880463935
Mean	272.6	black or african american	0.40096060880463935
3rd Qu.	84	black or african american	0.40096060880463935
Max.	1128	black or african american	0.40096060880463935
