Values	total	status	pValue
Min.	21	white	0.08211989320780458
1st Qu.	95	white	0.08211989320780458
Median	193	white	0.08211989320780458
Mean	252.090909090909	white	0.08211989320780458
3rd Qu.	378.5	white	0.08211989320780458
Max.	1042	white	0.08211989320780458
Min.	64	black or african american	0.08211989320780458
1st Qu.	78	black or african american	0.08211989320780458
Median	87	black or african american	0.08211989320780458
Mean	105.8	black or african american	0.08211989320780458
3rd Qu.	106	black or african american	0.08211989320780458
Max.	194	black or african american	0.08211989320780458
