Values	total	status	pValue
Min.	1	white	0.3762310030395138
1st Qu.	129.25	white	0.3762310030395138
Median	187.5	white	0.3762310030395138
Mean	269.739130434783	white	0.3762310030395138
3rd Qu.	366.25	white	0.3762310030395138
Max.	1326	white	0.3762310030395138
Min.	79	black or african american	0.3762310030395138
1st Qu.	106.75	black or african american	0.3762310030395138
Median	130	black or african american	0.3762310030395138
Mean	176.25	black or african american	0.3762310030395138
3rd Qu.	199.5	black or african american	0.3762310030395138
Max.	366	black or african american	0.3762310030395138
