Values	total	status	pValue
Min.	37	white	0.6623894631153573
1st Qu.	104.75	white	0.6623894631153573
Median	136.5	white	0.6623894631153573
Mean	146.425	white	0.6623894631153573
3rd Qu.	180.25	white	0.6623894631153573
Max.	495	white	0.6623894631153573
Min.	61	black or african american	0.6623894631153573
1st Qu.	107.5	black or african american	0.6623894631153573
Median	133.5	black or african american	0.6623894631153573
Mean	129.8	black or african american	0.6623894631153573
3rd Qu.	143.75	black or african american	0.6623894631153573
Max.	230	black or african american	0.6623894631153573
