Values	total	status	pValue
Min.	38	white	0.0519778415808413
1st Qu.	108	white	0.0519778415808413
Median	193	white	0.0519778415808413
Mean	256.870588235294	white	0.0519778415808413
3rd Qu.	341	white	0.0519778415808413
Max.	967	white	0.0519778415808413
Min.	38	black or african american	0.0519778415808413
1st Qu.	101	black or african american	0.0519778415808413
Median	132	black or african american	0.0519778415808413
Mean	153.210526315789	black or african american	0.0519778415808413
3rd Qu.	165.5	black or african american	0.0519778415808413
Max.	395	black or african american	0.0519778415808413
