Values	total	status	pValue
Min.	17	white	0.11385639634181156
1st Qu.	87.75	white	0.11385639634181156
Median	116.5	white	0.11385639634181156
Mean	173.266666666667	white	0.11385639634181156
3rd Qu.	152.5	white	0.11385639634181156
Max.	2553	white	0.11385639634181156
Min.	108	black or african american	0.11385639634181156
1st Qu.	160.5	black or african american	0.11385639634181156
Median	180	black or african american	0.11385639634181156
Mean	173.25	black or african american	0.11385639634181156
3rd Qu.	192.75	black or african american	0.11385639634181156
Max.	225	black or african american	0.11385639634181156
