Values	total	status	pValue
Min.	4	white	0.16249827595222502
1st Qu.	114.25	white	0.16249827595222502
Median	224.5	white	0.16249827595222502
Mean	349.265217391304	white	0.16249827595222502
3rd Qu.	457	white	0.16249827595222502
Max.	1795	white	0.16249827595222502
Min.	3	black or african american	0.16249827595222502
1st Qu.	131.5	black or african american	0.16249827595222502
Median	390	black or african american	0.16249827595222502
Mean	402.257142857143	black or african american	0.16249827595222502
3rd Qu.	587.5	black or african american	0.16249827595222502
Max.	1227	black or african american	0.16249827595222502
