Values	total	status	pValue
Min.	7	white	0.8585962456706322
1st Qu.	171	white	0.8585962456706322
Median	240	white	0.8585962456706322
Mean	281.272727272727	white	0.8585962456706322
3rd Qu.	349	white	0.8585962456706322
Max.	1142	white	0.8585962456706322
Min.	105	black or african american	0.8585962456706322
1st Qu.	170.5	black or african american	0.8585962456706322
Median	250	black or african american	0.8585962456706322
Mean	271.857142857143	black or african american	0.8585962456706322
3rd Qu.	400.5	black or african american	0.8585962456706322
Max.	406	black or african american	0.8585962456706322
