Values	total	status	pValue
Min.	25	white	0.7001150637750044
1st Qu.	187	white	0.7001150637750044
Median	252	white	0.7001150637750044
Mean	354.299435028249	white	0.7001150637750044
3rd Qu.	389	white	0.7001150637750044
Max.	3339	white	0.7001150637750044
Min.	96	black or african american	0.7001150637750044
1st Qu.	179	black or african american	0.7001150637750044
Median	254	black or african american	0.7001150637750044
Mean	273.315789473684	black or african american	0.7001150637750044
3rd Qu.	374	black or african american	0.7001150637750044
Max.	508	black or african american	0.7001150637750044
