Values	total	status	pValue
Min.	1	white	0.24872247222197552
1st Qu.	109.5	white	0.24872247222197552
Median	192	white	0.24872247222197552
Mean	282.327217125382	white	0.24872247222197552
3rd Qu.	341.5	white	0.24872247222197552
Max.	3767	white	0.24872247222197552
Min.	61	black or african american	0.24872247222197552
1st Qu.	97	black or african american	0.24872247222197552
Median	173	black or african american	0.24872247222197552
Mean	195.652173913043	black or african american	0.24872247222197552
3rd Qu.	243	black or african american	0.24872247222197552
Max.	434	black or african american	0.24872247222197552
