Values	total	status	pValue
Min.	1	white	0.1692314873723481
1st Qu.	71.5	white	0.1692314873723481
Median	111	white	0.1692314873723481
Mean	167.351724137931	white	0.1692314873723481
3rd Qu.	165.5	white	0.1692314873723481
Max.	3385	white	0.1692314873723481
Min.	31	black or african american	0.1692314873723481
1st Qu.	102	black or african american	0.1692314873723481
Median	132	black or african american	0.1692314873723481
Mean	139.893617021277	black or african american	0.1692314873723481
3rd Qu.	165.5	black or african american	0.1692314873723481
Max.	395	black or african american	0.1692314873723481
