Values	total	status	pValue
Min.	6	white	0.13565761647497315
1st Qu.	16	white	0.13565761647497315
Median	19.5	white	0.13565761647497315
Mean	36.2241379310345	white	0.13565761647497315
3rd Qu.	27	white	0.13565761647497315
Max.	793	white	0.13565761647497315
Min.	13	black or african american	0.13565761647497315
1st Qu.	13.75	black or african american	0.13565761647497315
Median	14.5	black or african american	0.13565761647497315
Mean	16.25	black or african american	0.13565761647497315
3rd Qu.	17	black or african american	0.13565761647497315
Max.	23	black or african american	0.13565761647497315
