Values	total	status	pValue
Min.	10	white	0.6963553907398695
1st Qu.	41	white	0.6963553907398695
Median	55	white	0.6963553907398695
Mean	62.1139705882353	white	0.6963553907398695
3rd Qu.	70	white	0.6963553907398695
Max.	1335	white	0.6963553907398695
Min.	8	black or african american	0.6963553907398695
1st Qu.	35.75	black or african american	0.6963553907398695
Median	53	black or african american	0.6963553907398695
Mean	67.0769230769231	black or african american	0.6963553907398695
3rd Qu.	75.75	black or african american	0.6963553907398695
Max.	657	black or african american	0.6963553907398695
