Values	total	status	pValue
Min.	7	white	0.0947552934825601
1st Qu.	48	white	0.0947552934825601
Median	66	white	0.0947552934825601
Mean	66.4422110552764	white	0.0947552934825601
3rd Qu.	86.5	white	0.0947552934825601
Max.	142	white	0.0947552934825601
Min.	12	black or african american	0.0947552934825601
1st Qu.	34	black or african american	0.0947552934825601
Median	53	black or african american	0.0947552934825601
Mean	60.5423728813559	black or african american	0.0947552934825601
3rd Qu.	84	black or african american	0.0947552934825601
Max.	154	black or african american	0.0947552934825601
