Values	total	status	pValue
Min.	1	white	0.06479908651070641
1st Qu.	59.75	white	0.06479908651070641
Median	84.5	white	0.06479908651070641
Mean	108.277777777778	white	0.06479908651070641
3rd Qu.	115	white	0.06479908651070641
Max.	1503	white	0.06479908651070641
Min.	52	black or african american	0.06479908651070641
1st Qu.	84	black or african american	0.06479908651070641
Median	107.5	black or african american	0.06479908651070641
Mean	106.75	black or african american	0.06479908651070641
3rd Qu.	125.25	black or african american	0.06479908651070641
Max.	186	black or african american	0.06479908651070641
