Values	total	status	pValue
Min.	1	white	0.01257065894463408
1st Qu.	86.75	white	0.01257065894463408
Median	192	white	0.01257065894463408
Mean	288.938144329897	white	0.01257065894463408
3rd Qu.	375	white	0.01257065894463408
Max.	1795	white	0.01257065894463408
Min.	3	black or african american	0.01257065894463408
1st Qu.	128.75	black or african american	0.01257065894463408
Median	332	black or african american	0.01257065894463408
Mean	388.692307692308	black or african american	0.01257065894463408
3rd Qu.	527.75	black or african american	0.01257065894463408
Max.	1615	black or african american	0.01257065894463408
