Values	total	status	pValue
Min.	1	white	0.3138118044401194
1st Qu.	82.25	white	0.3138118044401194
Median	132.5	white	0.3138118044401194
Mean	387.463503649635	white	0.3138118044401194
3rd Qu.	250	white	0.3138118044401194
Max.	7492	white	0.3138118044401194
Min.	53	black or african american	0.3138118044401194
1st Qu.	70	black or african american	0.3138118044401194
Median	92	black or african american	0.3138118044401194
Mean	328.230769230769	black or african american	0.3138118044401194
3rd Qu.	141	black or african american	0.3138118044401194
Max.	1653	black or african american	0.3138118044401194
