Values	total	status	pValue
Min.	1	white	0.4225234804704051
1st Qu.	27	white	0.4225234804704051
Median	40	white	0.4225234804704051
Mean	192.25	white	0.4225234804704051
3rd Qu.	55	white	0.4225234804704051
Max.	16789	white	0.4225234804704051
Min.	19	black or african american	0.4225234804704051
1st Qu.	42	black or african american	0.4225234804704051
Median	46	black or african american	0.4225234804704051
Mean	56.8	black or african american	0.4225234804704051
3rd Qu.	56	black or african american	0.4225234804704051
Max.	121	black or african american	0.4225234804704051
