Values	total	status	pValue
Min.	16	white	0.528523895679434
1st Qu.	84	white	0.528523895679434
Median	151	white	0.528523895679434
Mean	551.463768115942	white	0.528523895679434
3rd Qu.	348	white	0.528523895679434
Max.	7492	white	0.528523895679434
Min.	70	black or african american	0.528523895679434
1st Qu.	92.5	black or african american	0.528523895679434
Median	105.5	black or african american	0.528523895679434
Mean	139.25	black or african american	0.528523895679434
3rd Qu.	152.25	black or african american	0.528523895679434
Max.	276	black or african american	0.528523895679434
