Values	total	status	pValue
Min.	3	white	0.27868318707783285
1st Qu.	86	white	0.27868318707783285
Median	150.5	white	0.27868318707783285
Mean	498.542857142857	white	0.27868318707783285
3rd Qu.	753.5	white	0.27868318707783285
Max.	3815	white	0.27868318707783285
Min.	59	black or african american	0.27868318707783285
1st Qu.	63	black or african american	0.27868318707783285
Median	84	black or african american	0.27868318707783285
Mean	357.2	black or african american	0.27868318707783285
3rd Qu.	92	black or african american	0.27868318707783285
Max.	1488	black or african american	0.27868318707783285
