Values	total	status	pValue
Min.	1	white	0.9741140481544723
1st Qu.	74	white	0.9741140481544723
Median	131	white	0.9741140481544723
Mean	195.531791907514	white	0.9741140481544723
3rd Qu.	231	white	0.9741140481544723
Max.	1591	white	0.9741140481544723
Min.	49	black or african american	0.9741140481544723
1st Qu.	84	black or african american	0.9741140481544723
Median	138	black or african american	0.9741140481544723
Mean	153.444444444444	black or african american	0.9741140481544723
3rd Qu.	218	black or african american	0.9741140481544723
Max.	310	black or african american	0.9741140481544723
